council,page,url
2,82,https://www.cityofsydney.nsw.gov.au/child-care-family-services/apply-for-after-school-or-vacation-care
2,83,https://www.cityofsydney.nsw.gov.au/policies/volunteer-policy
2,84,https://www.cityofsydney.nsw.gov.au/child-care-family-services/apply-for-a-place-at-hilda-booler-kindergarten
2,85,https://www.cityofsydney.nsw.gov.au/guides
2,86,https://www.cityofsydney.nsw.gov.au/parks/dawes-point-park
2,87,https://www.cityofsydney.nsw.gov.au/facility-bookings-outdoor-events
2,88,https://www.cityofsydney.nsw.gov.au/park-playground-works/pirrama-park-major-works-creation-and-history
2,89,https://www.cityofsydney.nsw.gov.au/search?page=1&used-for=health-and-fitness-classes
2,90,https://www.cityofsydney.nsw.gov.au/lists-maps-inventories/fees-and-charges-for-outdoor-venue-hire
2,91,https://www.cityofsydney.nsw.gov.au/park-playground-works/hj-foley-park-upgrade-works
2,92,https://www.cityofsydney.nsw.gov.au/floodplain-management-plans
2,93,https://www.cityofsydney.nsw.gov.au/environmental-action
2,94,https://www.cityofsydney.nsw.gov.au/surveys-case-studies-reports/green-reports
2,95,https://www.cityofsydney.nsw.gov.au/property-tree-maintenance
2,96,https://www.cityofsydney.nsw.gov.au/guides/help-grants-language-korean
2,97,https://www.cityofsydney.nsw.gov.au/guides/water-actions-for-residents
2,98,https://www.cityofsydney.nsw.gov.au/hireable-indoor-spaces
2,99,https://www.cityofsydney.nsw.gov.au/search?page=1&used-for=childrens-activities
2,100,https://www.cityofsydney.nsw.gov.au/parks/harry-noble-reserve
2,101,https://www.cityofsydney.nsw.gov.au/parks/tote-park
2,102,https://www.cityofsydney.nsw.gov.au/search?page=1&location=glebe
2,103,https://www.cityofsydney.nsw.gov.au/surveys-case-studies-reports
2,104,https://www.cityofsydney.nsw.gov.au/gyms/kgv-gym
2,105,https://www.cityofsydney.nsw.gov.au/property-tree-maintenance/get-approval-sewage-management-recycled-water-system
2,106,https://www.cityofsydney.nsw.gov.au/environmental-action/reducing-waste-at-home
2,107,https://www.cityofsydney.nsw.gov.au/guides/water-actions-for-developers
2,108,https://www.cityofsydney.nsw.gov.au/council-governance-administration/grants-sponsorship-guidelines
2,109,https://www.cityofsydney.nsw.gov.au/parks/clyne-reserve
2,110,https://www.cityofsydney.nsw.gov.au/development-applications/guidance-sustainable-development
2,111,https://www.cityofsydney.nsw.gov.au/property-tree-maintenance/register-your-cooling-towers-warm-water-systems
2,112,https://www.cityofsydney.nsw.gov.au/hireable-indoor-spaces/treasury-room-sydney-town-hall
2,113,https://www.cityofsydney.nsw.gov.au/parks/southern-cross-drive-reserve
2,114,https://www.cityofsydney.nsw.gov.au/public-health-safety-programs/street-counts
2,115,https://www.cityofsydney.nsw.gov.au/guides/water-actions-the-city-is-taking
2,116,https://www.cityofsydney.nsw.gov.au/gyms/victoria-park-pool-health-club
2,117,https://www.cityofsydney.nsw.gov.au/hireable-indoor-spaces/seminar-room-2-ultimo-community-centre
2,118,https://www.cityofsydney.nsw.gov.au/child-care-family-services/find-family-day-care
2,119,https://www.cityofsydney.nsw.gov.au/histories-local-parks-playgrounds/history-harry-noble-reserve
2,120,https://www.cityofsydney.nsw.gov.au/parks/pirrama-park
2,121,https://www.cityofsydney.nsw.gov.au/development-guidelines-policies/guidelines-waste-management-new-developments
