index,site_id,page_id,keyword_id,similar_kw_id,phrases_count,country
0,0,0_76,4,4,1,1
1,0,0_112,4,4,1,1
2,0,0_1572,4,4,1,1
3,0,0_1596,4,4,1,1
4,0,0_1609,4,4,1,1
5,0,0_1657,4,4,1,1
6,0,0_1880,4,4,1,1
7,0,0_2161,4,4,1,1
8,0,0_2356,4,4,1,1
9,0,0_2495,4,4,1,1
10,0,0_2497,4,4,1,1
11,0,0_2560,4,4,1,1
12,0,0_2565,4,4,1,1
13,0,0_2666,4,4,1,1
14,0,0_4350,4,4,1,1
15,0,0_4358,4,4,1,1
16,0,0_4435,4,4,1,1
17,0,0_4491,4,4,1,1
18,0,0_4647,4,4,1,1
19,0,0_4691,4,4,1,1
20,0,0_4781,4,4,1,1
21,0,0_4951,4,4,1,1
22,0,0_5011,4,4,1,1
23,0,0_5012,4,4,1,1
24,0,0_5037,4,4,1,1
25,0,0_331,14,14,1,1
26,0,0_981,14,14,1,1
27,0,0_1572,14,14,1,1
28,0,0_1596,14,14,1,1
29,0,0_5012,14,14,1,1
30,0,0_5037,14,14,1,1
31,0,0_76,16,16,1,1
32,0,0_112,16,16,1,1
33,0,0_1572,16,16,1,1
34,0,0_1596,16,16,1,1
35,0,0_1880,16,16,1,1
36,0,0_4435,16,16,1,1
37,0,0_5011,16,16,1,1
38,0,0_5012,16,16,1,1
39,0,0_5037,16,16,1,1
40,0,0_82,22,22,1,1
41,0,0_84,22,22,1,1
42,0,0_183,22,22,1,1
43,0,0_252,22,22,1,1
44,0,0_324,22,22,1,1
45,0,0_1394,22,22,1,1
46,0,0_1417,22,22,1,1
47,0,0_1468,22,22,1,1
48,0,0_1495,22,22,1,1
49,0,0_1504,22,22,1,1
50,0,0_1572,22,22,1,1
51,0,0_1578,22,22,1,1
52,0,0_1595,22,22,1,1
53,0,0_1619,22,22,1,1
54,0,0_1620,22,22,1,1
55,0,0_1647,22,22,1,1
56,0,0_1667,22,22,1,1
57,0,0_1677,22,22,1,1
58,0,0_1685,22,22,1,1
59,0,0_1693,22,22,1,1
60,0,0_1694,22,22,1,1
61,0,0_1710,22,22,1,1
62,0,0_1716,22,22,1,1
63,0,0_1742,22,22,1,1
64,0,0_2411,22,22,1,1
65,0,0_2520,22,22,1,1
66,0,0_2521,22,22,1,1
67,0,0_2524,22,22,1,1
68,0,0_2548,22,22,1,1
69,0,0_2550,22,22,1,1
70,0,0_2556,22,22,1,1
71,0,0_2661,22,22,1,1
72,0,0_3490,22,22,1,1
73,0,0_3505,22,22,1,1
74,0,0_4086,22,22,1,1
75,0,0_4228,22,22,1,1
76,0,0_4366,22,22,1,1
77,0,0_5036,22,22,1,1
78,0,0_84,23,23,1,1
79,0,0_329,23,23,1,1
80,0,0_4088,23,23,1,1
81,0,0_5036,23,23,1,1
82,0,0_2448,24,24,1,1
83,0,0_4600,24,24,1,1
84,0,0_84,27,27,1,1
85,0,0_145,27,27,1,1
86,0,0_176,27,27,1,1
87,0,0_305,27,27,1,1
88,0,0_329,27,27,1,1
89,0,0_945,27,27,1,1
90,0,0_1333,27,27,1,1
91,0,0_1339,27,27,1,1
92,0,0_1450,27,27,1,1
93,0,0_1596,27,27,1,1
94,0,0_1880,27,27,1,1
95,0,0_1927,27,27,1,1
96,0,0_4060,27,27,1,1
97,0,0_4088,27,27,1,1
98,0,0_4133,27,27,1,1
99,0,0_4152,27,27,1,1
100,0,0_4781,27,27,1,1
101,0,0_4784,27,27,1,1
102,0,0_4854,27,27,1,1
103,0,0_5036,27,27,1,1
104,0,0_1339,33,33,1,1
105,0,0_1880,33,33,1,1
106,0,0_4035,35,35,1,1
107,0,0_4058,35,35,1,1
108,0,0_4394,35,35,1,1
109,0,0_4836,35,35,1,1
110,0,0_4844,35,35,1,1
111,0,0_70,47,47,1,1
112,0,0_123,47,47,1,1
113,0,0_360,47,47,1,1
114,0,0_1497,47,47,1,1
115,0,0_1521,47,47,1,1
116,0,0_1531,47,47,1,1
117,0,0_1656,47,47,1,1
118,0,0_1661,47,47,1,1
119,0,0_1710,47,47,1,1
120,0,0_1761,47,47,1,1
121,0,0_1769,47,47,1,1
122,0,0_1813,47,47,1,1
123,0,0_1837,47,47,1,1
124,0,0_1854,47,47,1,1
