council,page,url
0,58,https://www.melbourne.vic.gov.au/news-and-media/Pages/AFL-themed-scavenger-hunt-to-help-Melbourne-bounce-back.aspx
0,59,https://www.melbourne.vic.gov.au/about-council/governance-transparency/policies-protocols/Pages/privacy.aspx?utm_source=contact-us&utm_medium=privacy&utm_campaign=policy
0,60,https://www.melbourne.vic.gov.au/about-council/governance-transparency/policies-protocols/Pages/complaint-resolution-policy.aspx?utm_source=contact-us&utm_medium=cta&utm_campaign=complaint-policy
0,61,https://www.melbourne.vic.gov.au/news-and-media/Pages/Melbourne-scores-A-grade-for-environmental-action.aspx
0,62,https://www.melbourne.vic.gov.au/pages/make-a-payment.aspx
0,63,https://www.melbourne.vic.gov.au/parking-and-transport/parking/parking-fines/request-an-infringement-review/pages/request-infringement-review.aspx
0,64,https://www.melbourne.vic.gov.au/about-council/vision-goals/eco-city/Pages/climate-change-mitigation-strategy.aspx
0,65,https://www.melbourne.vic.gov.au/embedfiles/homelessness_signup.aspx
0,66,"https://www.melbourne.vic.gov.au/news-and-media/Pages/The-shackles-are-off-%E2%80%93-welcome-back,-Melbourne.aspx"
0,67,https://www.melbourne.vic.gov.au/news-and-media/Pages/Boost-for-business-as-Midweek-Melbourne-Money-returns.aspx
0,68,https://www.melbourne.vic.gov.au/pages/mapviewer.aspx?asrc=/about-melbourne/melbourne-profile/pages/city-maps.aspx&id=g_3d67f91b_5d0b_4fbc_813c_cdb9f98cfdbe
0,69,https://www.melbourne.vic.gov.au/news-and-media/Pages/Power-Melbourne-to-spark-new-jobs-and-boost-clean-energy.aspx
0,70,https://www.melbourne.vic.gov.au/residents/home-neighbourhood/gardens-and-green-spaces/pages/community-gardens-compost-hubs.aspx
0,71,https://www.melbourne.vic.gov.au/about-council/governance-transparency/council-information/pages/freedom-of-information.aspx
0,72,https://www.melbourne.vic.gov.au/about-melbourne/research-and-statistics/city-economy/census-land-use-employment/pages/clue-small-area-and-block-maps.aspx
0,73,https://www.melbourne.vic.gov.au/news-and-media/Pages/Game-changing-Greenline-plans-revealed.aspx
0,74,https://www.melbourne.vic.gov.au/news-and-media/Pages/Midweek-Melbourne-Money-a-winner-for-city-businesses.aspx
0,75,https://www.melbourne.vic.gov.au/about-council/vision-goals/eco-city/Pages/carbon-neutral-events.aspx
